Day of Month,Date,Site ID,Page Views,Unique Visitors,Total Time Spent,Visits,Average Time Spent on Site
1,2021-01-01,site 1,6,4,11,4,0.1
2,2021-01-02,site 1,4,2,14,2,0.1
3,2021-01-03,site 1,4,2,13,2,0.1
4,2021-01-04,site 1,10,7,268,7,1.5
5,2021-01-05,site 1,7,5,12,5,0.1
6,2021-01-06,site 1,6,4,13,4,0.1
7,2021-01-07,site 1,5,3,12,3,0.1
8,2021-01-08,site 1,6,4,14,4,0.1
9,2021-01-09,site 1,9,7,13,7,0.1
10,2021-01-10,site 1,10,5,189,5,1.1
11,2021-01-11,site 1,8,6,13,6,0.1
12,2021-01-12,site 1,8,6,14,6,0.1
13,2021-01-13,site 1,5,3,12,3,0.1
14,2021-01-14,site 1,8,5,986,5,5.5
15,2021-01-15,site 1,9,4,596,4,3.3
16,2021-01-16,site 1,6,2,21,2,0.2
17,2021-01-17,site 1,7,3,22,3,0.2
18,2021-01-18,site 1,11,4,194,4,0.8
19,2021-01-19,site 1,9,5,27,5,0.2
20,2021-01-20,site 1,28,19,107,19,0.6
21,2021-01-21,site 1,33,9,1113,9,6.2
22,2021-01-22,site 1,46,16,4783,18,13.3
23,2021-01-23,site 1,34,9,6767,12,22.6
24,2021-01-24,site 1,26,14,3767,14,15.7
25,2021-01-25,site 1,34,7,2515,8,8.4
26,2021-01-26,site 1,53,17,7670,20,14.2
27,2021-01-27,site 1,46,20,1803,24,3.3
28,2021-01-28,site 1,18,8,1881,8,10.4
29,2021-01-29,site 1,24,10,1332,10,3.7
30,2021-01-30,site 1,25,12,4829,13,11.5
31,2021-01-31,site 1,44,15,5695,19,11.9
1,2021-01-01,site 10,208,198,835,200,1.1
2,2021-01-02,site 10,30,24,297,26,0.6
3,2021-01-03,site 10,92,68,1193,69,1.8
4,2021-01-04,site 10,267,255,2032,258,2.1
5,2021-01-05,site 10,258,242,940,243,1.6
6,2021-01-06,site 10,208,193,1909,195,3.5
7,2021-01-07,site 10,49,30,3173,32,4.8
8,2021-01-08,site 10,39,28,637,30,1.2
9,2021-01-09,site 10,194,191,406,191,1.1
10,2021-01-10,site 10,45,36,2098,37,5.0
11,2021-01-11,site 10,125,69,3327,78,2.3
12,2021-01-12,site 10,242,217,1702,218,1.5
13,2021-01-13,site 10,41,29,1140,29,2.1
14,2021-01-14,site 10,37,22,1181,26,2.8
15,2021-01-15,site 10,35,25,2192,26,3.7
16,2021-01-16,site 10,21,17,828,17,1.5
17,2021-01-17,site 10,245,203,3648,206,6.8
18,2021-01-18,site 10,68,51,1015,51,1.9
19,2021-01-19,site 10,26,19,1922,20,4.0
20,2021-01-20,site 10,191,187,87,187,0.3
21,2021-01-21,site 10,23,15,531,19,1.5
22,2021-01-22,site 10,48,42,1886,43,3.5
23,2021-01-23,site 10,21,14,123,15,0.3
24,2021-01-24,site 10,47,37,3370,38,5.6
25,2021-01-25,site 10,229,223,225,223,0.5
26,2021-01-26,site 10,31,19,710,20,1.2
27,2021-01-27,site 10,27,21,1268,21,3.5
28,2021-01-28,site 10,216,198,2687,201,4.1
29,2021-01-29,site 10,29,25,41,25,0.2
30,2021-01-30,site 10,29,15,825,22,2.8
31,2021-01-31,site 10,59,36,655,37,2.2
1,2021-01-01,site 100,13,10,23,10,0.1
2,2021-01-02,site 100,21,15,140,15,0.4
3,2021-01-03,site 100,22,19,11,19,0.1
4,2021-01-04,site 100,27,18,88,18,0.2
5,2021-01-05,site 100,42,18,2679,19,5.0
6,2021-01-06,site 100,24,16,182,16,0.5
7,2021-01-07,site 100,22,10,175,10,0.4
8,2021-01-08,site 100,24,20,10,20,0.0
9,2021-01-09,site 100,14,7,92,7,0.5
10,2021-01-10,site 100,17,7,467,7,1.6
11,2021-01-11,site 100,28,20,161,20,0.4
12,2021-01-12,site 100,20,10,169,10,0.5
13,2021-01-13,site 100,30,21,73,21,0.1
14,2021-01-14,site 100,17,8,78,8,0.2
15,2021-01-15,site 100,21,10,76,10,0.2
16,2021-01-16,site 100,19,14,50,14,0.3
17,2021-01-17,site 100,8,4,21,4,0.2
18,2021-01-18,site 100,33,14,699,15,1.2
19,2021-01-19,site 100,28,18,1037,18,2.9
20,2021-01-20,site 100,26,18,115,18,0.3
21,2021-01-21,site 100,16,6,489,6,1.6
22,2021-01-22,site 100,16,7,232,7,0.8
23,2021-01-23,site 100,15,8,143,8,0.4
24,2021-01-24,site 100,22,16,1113,16,4.6
25,2021-01-25,site 100,15,9,33,9,0.1
26,2021-01-26,site 100,28,11,1549,11,2.9
27,2021-01-27,site 100,34,18,466,18,1.1
28,2021-01-28,site 100,20,9,100,9,0.3
29,2021-01-29,site 100,33,18,95,18,0.2
30,2021-01-30,site 100,19,6,331,6,1.1
31,2021-01-31,site 100,11,5,35,5,0.1
1,2021-01-01,site 11,1322,583,41860,602,2.9
2,2021-01-02,site 11,1663,590,56444,612,2.8
3,2021-01-03,site 11,1953,766,58600,790,2.6
4,2021-01-04,site 11,3224,1137,102498,1210,2.5
5,2021-01-05,site 11,3387,1322,110597,1384,2.7
6,2021-01-06,site 11,2994,1168,113618,1213,3.1
7,2021-01-07,site 11,2707,1057,91287,1107,2.8
8,2021-01-08,site 11,3682,1419,104157,1483,2.4
9,2021-01-09,site 11,1724,644,68660,676,3.0
10,2021-01-10,site 11,2240,696,77916,727,3.0
11,2021-01-11,site 11,3297,1275,119946,1347,3.0
12,2021-01-12,site 11,2987,1078,100634,1134,2.7
13,2021-01-13,site 11,2796,1088,92419,1145,2.7
14,2021-01-14,site 11,2492,975,78722,1019,2.7
15,2021-01-15,site 11,3659,1427,131635,1488,2.8
16,2021-01-16,site 11,3581,1415,99853,1484,2.3
